date_added;id;name;brand;owner;condition;condition_desctription;retail_price;tc_price;sold
2022-07-13;outfit.1b10aae2897d40d9ac491e7a93440192;Yellow Oda Jeans;Holzweiler;Holzweiler;4 - Minor defects;Flekker foran på skjørtet;2900;200.0;True
2023-12-12;outfit.1b308c0bf532439dbb6be76ea959786a;XS Purify Top;2NDDAY;Mani Studio Moss;4 - Minor defects;Godt brukt;2000;400.0;True
2023-09-19;outfit.1b3a8279b2b64c4c8bcbb8baf6d6348e;Dots Hot Pink Native New Yorker Pants;Høst & Vår;Høst & Vår;4 - Minor defects;Godt brukt;1900;550.0;True
2023-01-10;outfit.1b9ab78223b843e08e1daeb660783adf;S Emi Stripe Blouse;Untold Stories;FJONG;4 - Minor defects;veldig fadet i stoffet, pluss veldig mørk på ryggen ved nakken.;4000;799.0;True
2023-12-12;outfit.1ba117ad1dfc4db98e92536c9d6724fe;XS Vintage Cotton High Neck Vintage White Top;byTiMo;FJONG;4 - Minor defects;Wear and tear;3600;899.0;True
;outfit.1bee365da3a84e53aecc44958f9c7bf8;XS 2 Blue Floral Shirt;By Malene Birger;Høyer;4 - Minor defects;Slitt;4000;1200.0;True
2023-12-12;outfit.1c009820b8df49c8b96add8559ebacea;XS Bon Sweater Rose Gem ;Rodebjer;Rodebjer;4 - Minor defects;;1400;550.0;True
2023-05-15;outfit.1d019cb2152540609969684aa547d21e;XS Aliquan Green Sengi Top;Holzweiler;Holzweiler;4 - Minor defects;;1400;550.0;True
2024-01-25;outfit.1d4e8c2917e1443cbbceae081f952e15;White Sunniva Linen Shirt;Urban Pioneers;Urban Pioneers;4 - Minor defects;;1600;600.0;True
2022-10-24;outfit.1d591536f5d34b00b5fefcf4d190cfd9;XL Vetiver Costa Long Dress;Maud;FJONG;4 - Minor defects;Repaired + wear and tear;3000;749.0;False
2024-01-25;outfit.1d8ae52243c24ceb98799172194e0328;Hellin Top;By Malene Birger;Høyer;4 - Minor defects;Flekk på brystet under blondene;1600;400.0;True
2023-09-15;outfit.1e2f1364650a490d9805a1dbe1519e8c;Vintage Burberry Trench Coat;Burberry;FJONG;4 - Minor defects;item has been repaired and the size in front (chest) is a bit tighter, item is also worn out;2600;650.0;False
2023-05-15;outfit.1e93d020236b4784a8c6f7bfd5eb69a4;L Blue Leona Tank Top;SOYAAULAIT;Soyaaulait;4 - Minor defects;Små flekker på omslag;1700;400.0;True
;outfit.1ea9f8408fd649a48f2c4f1fde128d4d;L Draped Flower Skirt Aspen Gold;MAUD;Høyer;4 - Minor defects;Unremovable stains;2800;600.0;True
2023-09-19;outfit.1f534d95ccf6415a8af3b5799dd959e7;Belianna Coat;By Malene Birger;FJONG;4 - Minor defects;Har ett vannmerke på høyre side i front som ikke går bort. Nesten usynlig når du ser på den, men synlig når den er på.;1900;550.0;True
2023-05-15;outfit.200c88e2c54d4176a8c67623f8a24bc3;XS Green Voss Skirt;Holzweiler;Holzweiler;4 - Minor defects;Flekk;3800;1100.0;True
2024-01-25;outfit.20302c7bdf464ee38ee927f28984fc14;Sotra Skirt Green Stripes;Holzweiler;Holzweiler;4 - Minor defects;Beltet holder på å ryke;1500;450.0;True
2023-09-15;outfit.206a16e3dd4e4e0babd00f04357e55e6;Mesima Shirt Dress;Camilla Pihl;Villoid;4 - Minor defects;Små flekker bak;3500;1050.0;True
;outfit.207c866957714c84b7ef61de627a8c3d;L Lima Sky Blue Dress;MAUD;FJONG;4 - Minor defects;Lukter litt svette under den ene armen.;3900;1200.0;True
2024-01-25;outfit.218745803f1b42e992eb576744b2a172;Yasmin Beige Skirt ;FWSS;FWSS;4 - Minor defects;Slitt;2200;550.0;True
2023-09-19;outfit.21a5209b91c342a4a0e587fb91f592f5;Black Stone Dress;Maja Stabel;Maja Stabel;4 - Minor defects;Slitt under armene. ;4700;1200.0;True
2022-06-10;outfit.21c28bc4e7744c59a30ed4676ea1d444;M Rebel Red Classic Crewneck;Cardsome;Cardsome;4 - Minor defects;;7200;2500.0;True
2023-05-15;outfit.21def3c682b9458da15fbbd6a0135dcf;S Spring Dress Grey;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;;7200;1900.0;True
2022-06-10;outfit.227174c0c0b84b3288fe664f86f0bf9e;L Pink Sweatshirt;Studio Bazar;Studio Bazar;4 - Minor defects;Slitt, Hull i lommer;3700;1110.0;False
;outfit.2297c26b5b6a4081891a5d4aaca0db7e;S White Backless Lace Maxi Dress;Lulus;FJONG;4 - Minor defects;Falmet i stoffet;2900;700.0;True
2023-10-31;outfit.22ff5d532d24420891c0292df8da84dd;Theta Silver Dress;Samsøe & Samsøe;FJONG;4 - Minor defects;Some discoloring;2800;599.0;True
2023-05-15;outfit.232c502605b34b0c986aadc1fb812fc5;XS Ecru Lenient Jumpsuit;Holzweiler;Holzweiler;4 - Minor defects;Noen flekker etter rens;6000;1440.0;True
